match_id,player,team,gk_name,outcome,is_goal,xg,shot_x,shot_y,gk_x,gk_y,dist_off_line,lateral_offset,shot_angle_deg,goal_coverage_pct,open_goal_pct
3930158,Antonio Rüdiger,Germany,Angus Gunn,Saved,0,0.006107928,82.1,44.8,115.5,39.9,4.5,-0.1,11.86,0.2837,0.7163
3930158,Florian Wirtz,Germany,Angus Gunn,Off T,0,0.020383658,88.9,37.2,118.9,38.9,1.1,-1.1,14.54,0.2592,0.7408
3930158,Leroy Sané,Germany,Angus Gunn,Off T,0,0.030833129,92.6,43.3,116.0,39.8,4.0,-0.2,16.38,0.2927,0.7073
3930158,Joshua Kimmich,Germany,Angus Gunn,Blocked,0,0.01540596,95.4,57.2,117.7,42.2,2.3,2.2,12.54,0.2758,0.7242
3930158,Pascal Groß,Germany,Angus Gunn,Blocked,0,0.030512892,98.1,29.4,119.0,39.2,1.0,-0.8,16.92,0.262,0.738
3930158,Emre Can,Germany,Angus Gunn,Goal,1,0.0499945,98.5,39.4,119.6,40.2,0.4,0.2,21.06,0.2547,0.7453
3930158,Leroy Sané,Germany,Angus Gunn,Saved,0,0.026378801,98.9,55.4,118.3,41.3,1.7,1.3,14.21,0.2719,0.7281
3930158,Maximilian Mittelstädt,Germany,Angus Gunn,Off T,0,0.023070266,99.2,28.8,119.2,37.3,0.8,-2.7,17.06,0.26,0.74
3930158,Florian Wirtz,Germany,Angus Gunn,Goal,1,0.064226404,101.1,42.0,118.3,40.7,1.7,0.7,23.65,0.2747,0.7253
3930158,Kai Havertz,Germany,Angus Gunn,Saved,0,0.061890993,101.2,41.6,119.4,39.3,0.6,-0.7,23.86,0.2582,0.7418
3930158,Maximilian Mittelstädt,Germany,Angus Gunn,Off T,0,0.021256333,102.8,25.6,119.3,37.0,0.7,-3.0,15.77,0.2606,0.7394
3930158,Maximilian Mittelstädt,Germany,Angus Gunn,Blocked,0,0.025077615,102.9,28.5,118.7,37.0,1.3,-3.0,18.51,0.2706,0.7294
3930158,Niclas Füllkrug,Germany,Angus Gunn,Goal,1,0.113960005,104.1,39.3,119.1,39.4,0.9,-0.6,28.19,0.265,0.735
3930158,Jamal Musiala,Germany,Angus Gunn,Goal,1,0.09347519,106.4,35.4,118.9,39.6,1.1,-0.4,29.78,0.272,0.728
3930158,Antonio Rüdiger,Germany,Angus Gunn,Blocked,0,0.07437212,106.9,43.3,118.1,39.5,1.9,-0.5,32.19,0.2924,0.7076
3930158,Leroy Sané,Germany,Angus Gunn,Saved,0,0.07334591,107.5,54.1,118.4,43.5,1.6,3.5,16.43,0.2867,0.7133
3930158,Scott McKenna,Scotland,Manuel Neuer,Wayward,0,0.060525935,108.8,50.0,119.0,43.0,1.0,3.0,23.16,0.2745,0.7255
3930158,İlkay Gündoğan,Germany,Angus Gunn,Blocked,0,0.13365488,110.1,37.4,117.3,36.6,2.7,-3.4,41.74,0.2094,0.7906
3930158,İlkay Gündoğan,Germany,Angus Gunn,Saved,0,0.08211112,111.0,43.4,118.6,41.3,1.4,1.3,43.24,0.2961,0.7039
3930158,Florian Wirtz,Germany,Angus Gunn,Off T,0,0.11507621,112.6,50.1,119.6,41.7,0.4,1.7,22.81,0.2643,0.7357
3930159,Vincent Sierro,Switzerland,Péter Gulácsi,Blocked,0,0.020479834,91.4,28.3,117.4,37.8,2.6,-2.2,13.7,0.275,0.725
3930159,Fabian Lukas Schär,Switzerland,Péter Gulácsi,Blocked,0,0.017150318,93.4,51.8,115.8,42.0,4.2,2.0,14.37,0.2969,0.7031
3930159,Michel Aebischer,Switzerland,Péter Gulácsi,Goal,1,0.03557817,96.0,34.5,116.6,39.0,3.4,-1.0,18.02,0.2913,0.7087
3930159,Dan Ndoye,Switzerland,Péter Gulácsi,Off T,0,0.03159932,96.4,50.9,117.5,41.7,2.5,1.7,15.97,0.2796,0.7204
3930159,Roland Sallai,Hungary,Yann Sommer,Off T,0,0.044836354,98.1,48.0,117.3,41.9,2.7,1.9,18.37,0.2852,0.7148
3930159,Fabian Lukas Schär,Switzerland,Péter Gulácsi,Blocked,0,0.053312253,103.4,50.1,117.0,42.3,3.0,2.3,20.17,0.3051,0.6949
3930159,Breel-Donald Embolo,Switzerland,Péter Gulácsi,Goal,1,0.4426999,104.3,41.5,109.2,41.3,10.8,1.3,28.35,0.7931,0.2069
3930159,Roland Sallai,Hungary,Yann Sommer,Blocked,0,0.08412952,104.9,35.6,118.2,39.2,1.8,-0.8,27.57,0.2838,0.7162
3930159,Kwadwo Duah,Switzerland,Péter Gulácsi,Saved,0,0.10888988,105.0,29.0,117.3,37.2,2.7,-2.8,19.98,0.3049,0.6951
3930159,Dan Ndoye,Switzerland,Péter Gulácsi,Off T,0,0.14827995,105.0,49.0,116.0,43.5,4.0,3.5,22.48,0.3409,0.6591
