match_id,player,team,gk_name,outcome,is_goal,xg,shot_x,shot_y,gk_x,gk_y,dist_off_line,lateral_offset,dist_to_shot,extreme_position,own_keeper_advanced
3930158,Antonio Rüdiger,Germany,Angus Gunn,Saved,0,0.006107928,82.1,44.8,115.5,39.9,4.5,-0.1,33.76,False,False
3930158,Florian Wirtz,Germany,Angus Gunn,Off T,0,0.020383658,88.9,37.2,118.9,38.9,1.1,-1.1,30.05,False,False
3930158,Leroy Sané,Germany,Angus Gunn,Off T,0,0.030833129,92.6,43.3,116.0,39.8,4.0,-0.2,23.66,False,False
3930158,Joshua Kimmich,Germany,Angus Gunn,Blocked,0,0.01540596,95.4,57.2,117.7,42.2,2.3,2.2,26.88,False,False
3930158,Pascal Groß,Germany,Angus Gunn,Blocked,0,0.030512892,98.1,29.4,119.0,39.2,1.0,-0.8,23.08,False,False
3930158,Emre Can,Germany,Angus Gunn,Goal,1,0.0499945,98.5,39.4,119.6,40.2,0.4,0.2,21.12,False,False
3930158,Leroy Sané,Germany,Angus Gunn,Saved,0,0.026378801,98.9,55.4,118.3,41.3,1.7,1.3,23.98,False,False
3930158,Maximilian Mittelstädt,Germany,Angus Gunn,Off T,0,0.023070266,99.2,28.8,119.2,37.3,0.8,-2.7,21.73,False,False
3930158,Florian Wirtz,Germany,Angus Gunn,Goal,1,0.064226404,101.1,42.0,118.3,40.7,1.7,0.7,17.25,False,False
3930158,Kai Havertz,Germany,Angus Gunn,Saved,0,0.061890993,101.2,41.6,119.4,39.3,0.6,-0.7,18.34,False,False
3930158,Maximilian Mittelstädt,Germany,Angus Gunn,Off T,0,0.021256333,102.8,25.6,119.3,37.0,0.7,-3.0,20.06,False,False
3930158,Maximilian Mittelstädt,Germany,Angus Gunn,Blocked,0,0.025077615,102.9,28.5,118.7,37.0,1.3,-3.0,17.94,False,False
3930158,Niclas Füllkrug,Germany,Angus Gunn,Goal,1,0.113960005,104.1,39.3,119.1,39.4,0.9,-0.6,15.0,False,False
3930158,Jamal Musiala,Germany,Angus Gunn,Goal,1,0.09347519,106.4,35.4,118.9,39.6,1.1,-0.4,13.19,False,False
3930158,Antonio Rüdiger,Germany,Angus Gunn,Blocked,0,0.07437212,106.9,43.3,118.1,39.5,1.9,-0.5,11.83,False,False
3930158,Leroy Sané,Germany,Angus Gunn,Saved,0,0.07334591,107.5,54.1,118.4,43.5,1.6,3.5,15.2,False,False
3930158,Scott McKenna,Scotland,Manuel Neuer,Wayward,0,0.060525935,108.8,50.0,119.0,43.0,1.0,3.0,12.37,False,False
3930158,İlkay Gündoğan,Germany,Angus Gunn,Blocked,0,0.13365488,110.1,37.4,117.3,36.6,2.7,-3.4,7.24,False,False
3930158,İlkay Gündoğan,Germany,Angus Gunn,Saved,0,0.08211112,111.0,43.4,118.6,41.3,1.4,1.3,7.88,False,False
3930158,Florian Wirtz,Germany,Angus Gunn,Off T,0,0.11507621,112.6,50.1,119.6,41.7,0.4,1.7,10.93,False,False
3930159,Vincent Sierro,Switzerland,Péter Gulácsi,Blocked,0,0.020479834,91.4,28.3,117.4,37.8,2.6,-2.2,27.68,False,False
3930159,Fabian Lukas Schär,Switzerland,Péter Gulácsi,Blocked,0,0.017150318,93.4,51.8,115.8,42.0,4.2,2.0,24.45,False,False
3930159,Michel Aebischer,Switzerland,Péter Gulácsi,Goal,1,0.03557817,96.0,34.5,116.6,39.0,3.4,-1.0,21.09,False,False
3930159,Dan Ndoye,Switzerland,Péter Gulácsi,Off T,0,0.03159932,96.4,50.9,117.5,41.7,2.5,1.7,23.02,False,False
3930159,Roland Sallai,Hungary,Yann Sommer,Off T,0,0.044836354,98.1,48.0,117.3,41.9,2.7,1.9,20.15,False,False
3930159,Fabian Lukas Schär,Switzerland,Péter Gulácsi,Blocked,0,0.053312253,103.4,50.1,117.0,42.3,3.0,2.3,15.68,False,False
3930159,Breel-Donald Embolo,Switzerland,Péter Gulácsi,Goal,1,0.4426999,104.3,41.5,109.2,41.3,10.8,1.3,4.9,True,False
3930159,Roland Sallai,Hungary,Yann Sommer,Blocked,0,0.08412952,104.9,35.6,118.2,39.2,1.8,-0.8,13.78,False,False
3930159,Kwadwo Duah,Switzerland,Péter Gulácsi,Saved,0,0.10888988,105.0,29.0,117.3,37.2,2.7,-2.8,14.78,False,False
3930159,Dan Ndoye,Switzerland,Péter Gulácsi,Off T,0,0.14827995,105.0,49.0,116.0,43.5,4.0,3.5,12.3,False,False
3930159,Ruben Vargas,Switzerland,Péter Gulácsi,Saved,0,0.4467253,107.1,47.2,112.5,44.3,7.5,4.3,6.13,False,False
3930159,Kwadwo Duah,Switzerland,Péter Gulácsi,Goal,1,0.38862705,108.4,41.6,112.7,41.0,7.3,1.0,4.34,False,False
3930159,Ruben Vargas,Switzerland,Péter Gulácsi,Saved,0,0.12474265,108.6,30.2,117.1,37.8,2.9,-2.2,11.4,False,False
3930159,Dan Ndoye,Switzerland,Péter Gulácsi,Blocked,0,0.052711353,108.7,25.6,117.9,36.6,2.1,-3.4,14.34,False,False
3930159,Kwadwo Duah,Switzerland,Péter Gulácsi,Blocked,0,0.06089901,110.1,51.0,118.0,43.5,2.0,3.5,10.89,False,False
