gk_name,matches_played,shots_faced,saves,save_pct,xg_faced,goals_conceded,goals_prevented,sweeper_per_match,claims_per_match,z_save_pct,z_goals_prevented,z_sweeper_per_match,z_claims_per_match,z_goals_conceded,z_gp_per_match,z_xg_faced,composite_score
Koen Casteels,4,57,14,93.33,3.9283254447,1,2.9283254447,1.25,0.75,2.084523679082712,1.4051437860131482,-0.0811849482909155,0.2099530359281341,1.7158989555846642,1.3384514624272013,0.6568874465751631,1.297564885737058
Unai Simón Mendibil,6,65,14,82.35,5.944792861,3,2.944792861,1.5,1.0,1.0186137454138482,1.4151867411579593,0.21617852510022859,0.7509363186877435,0.8396952335839847,0.8274108482817313,-0.1644861793146768,0.9923894170216473
Fehmi Mert Günok,4,58,15,78.95,6.1948474094,4,2.1948474094000003,1.5,1.25,0.6880213787684302,0.9578187852950872,0.21617852510022859,1.2919196014473528,0.4015933725836449,0.9500716727827996,-0.26634163674945155,0.7434210646519437
Giorgi Mamardashvili,4,106,28,77.78,10.3897283929,8,2.3897283929000004,0.25,1.75,0.574484606385156,1.076670518937552,-1.270638841855492,2.3738861669665714,-1.3508140714177141,1.0532619957847245,-1.9750548922881759,0.46089144682025196
Jan Oblak,4,66,14,73.68,7.80046908,5,2.80046908,0.75,0.75,0.17710590304369137,1.3271682425357711,-0.6759118950732037,0.2099530359281341,-0.03650848841669485,1.2707509647475759,-0.9203642521051253,0.4335983262907906
Martin Dúbravka,4,54,12,70.59,6.1905889035,5,1.1905889035,2.5,1.0,-0.1234326120885061,0.34535335994789573,1.405632418664805,0.7509363186877435,-0.03650848841669485,0.4183124536938249,-0.2646070069688352,0.3661315381820373
Manuel Neuer,5,45,10,76.92,4.176194419,3,1.1761944189999998,1.4,0.6,0.491515426566609,0.3365746201909989,0.09723313574377085,-0.11463693372763159,0.8396952335839847,0.2861305063108702,0.555922245491003,0.35234654538403326
Predrag Rajković,3,27,7,77.78,2.662512589,2,0.6625125889999999,0.6666666666666666,1.3333333333333333,0.574484606385156,0.02329635701898519,-0.7750330528702518,1.4722473623672225,1.2777970945843244,0.255628189296778,1.17249473414147,0.33924859463680856
Anatolii Trubin,2,26,8,88.89,1.3801231105,1,0.3801231105,0.5,0.0,1.6530839440262686,-0.14892403349498468,-0.9732753684643478,-1.4129968123506942,1.7158989555846642,0.19044414345056448,1.694854226411995,0.32810068053838076
Mike Maignan,6,54,15,71.43,7.993123218,6,1.993123218,1.6666666666666667,0.5,-0.04185787226690957,0.8347935961005015,0.4144208406943247,-0.3310302468314753,-0.4746103494170346,0.4914687223455139,-0.9988386309086751,0.2612194634344004
Jindřich Staněk,3,24,7,77.78,3.0174335257,2,1.0174335257,0.3333333333333333,0.3333333333333333,0.574484606385156,0.23975138446809757,-1.171517684058444,-0.6916857686712149,1.2777970945843244,0.506204415808338,1.0279237411638547,0.1391418464619253
Gianluigi Donnarumma,4,50,13,76.47,4.1540687872,4,0.1540687871999999,1.75,0.25,0.44759056666267105,-0.2867873988118948,0.5135419984913727,-0.8720135295910847,0.4015933725836449,-0.1305294275305153,0.5649347444135076,0.06389086448760006
Thomas Strakosha,3,54,11,73.33,4.26010921,4,0.2601092099999995,1.0,0.6666666666666666,0.14304487132870924,-0.22211670668169062,-0.3785484216820596,0.02962527500826422,0.4015933725836449,-0.02847091509207048,0.5217409859316845,-0.048487784433096946
Kasper Schmeichel,4,43,12,75.0,4.6901597667,4,0.6901597666999999,0.5,0.25,0.30483477197487674,0.04015749421642906,-0.9732753684643478,-0.8720135295910847,0.4015933725836449,0.1533330629983423,0.3465672230346049,-0.08752776640218299
Diogo Meireles Costa,5,61,14,63.64,10.490188488,8,2.490188488,1.2,0.0,-0.7982781869762625,1.1379379461132868,-0.14065764296914438,-1.4129968123506942,-1.3508140714177141,0.8427429370059292,-2.015975599413179,-0.13868490977544087
Bart Verbruggen,6,65,18,75.0,5.8721633518,6,-0.1278366481999997,0.8333333333333334,0.6666666666666666,0.30483477197487674,-0.4587125867845007,-0.5767907372761556,0.02962527500826422,-0.4746103494170346,-0.25723622134745533,-0.13490178690844323,-0.2001160918144126
Florin Constantin Niţă,4,70,15,71.43,5.660272231,6,-0.3397277690000004,1.25,1.0,-0.04185787226690957,-0.5879382639041207,-0.0811849482909155,0.7509363186877435,-0.4746103494170346,-0.3919968381335415,-0.04859155110770521,-0.20288089936308157
Patrick Pentz,4,46,6,54.55,5.7353408045,5,0.7353408044999998,1.75,1.0,-1.680768554137174,0.06771197682347997,0.5135419984913727,0.7509363186877435,-0.03650848841669485,0.17725661777732446,-0.07916945477609709,-0.3320572915521233
Jordan Pickford,7,78,19,67.86,9.234790877,9,0.234790877,0.5714285714285714,0.5714285714285714,-0.3885505165086959,-0.23755755532656192,-0.8883143760668781,-0.1764635946144441,-1.788915932418054,-0.1410679252986297,-1.5046107842194072,-0.5294954084301869
Péter Gulácsi,3,38,9,64.29,3.762997269,5,-1.237002731,2.0,0.3333333333333333,-0.7352431607504822,-1.135157817461416,0.8109054718825168,-0.6916857686712149,-0.03650848841669485,-1.0854405724168166,0.7242310604807292,-0.5690617892630537
Angus Gunn,3,45,13,65.0,3.835800624,7,-3.164199376,3.6666666666666665,0.6666666666666666,-0.6659046319021255,-2.31049395449498,2.793328627823477,0.02962527500826422,-0.9127122104173744,-2.446052509091665,0.6945758549515372,-0.6777536730112701
Dominik Livaković,3,38,9,60.0,3.878436947,6,-2.121563053,3.0,0.0,-1.1512743338406266,-1.6746231151672688,2.000359365447093,-1.4129968123506942,-0.4746103494170346,-1.7099452569515636,0.6772086756289083,-0.8202072018204409
Wojciech Szczęsny,2,36,8,61.54,3.134453371,5,-1.865546629,1.0,0.0,-1.0019298101672416,-1.5184868145038217,-0.3785484216820596,-1.4129968123506942,-0.03650848841669485,-2.187739521397916,0.9802577021006033,-1.0337821214555578
Yann Sommer,5,65,8,47.06,8.596605537,9,-0.4033944629999997,0.8,1.0,-2.407525327093218,-0.6267665621879511,-0.6164392003949748,0.7509363186877435,-1.788915932418054,-0.382988805451343,-1.2446568655652839,-1.1378897363260256
