gk_name,shots_faced,xg_faced,goals_conceded,shots_on_target,saves,blocked_shots,save_pct,goals_prevented,sweeper_actions,claims,punches,total_gk_events,goal_kicks,avg_gk_length,matches_played,sweeper_per_match,claims_per_match,punches_per_match,goal_kicks_per_match,gp_per_match,xg_per_match,z_save_pct,z_goals_prevented,z_sweeper_per_match,z_claims_per_match,z_goals_conceded,z_xg_faced,z_gp_per_match,z_avg
Anatolii Trubin,26,1.3801231105,1,9,8,9,88.88888888888889,0.3801231105,1,0,1,28,14,49.973491,2,0.5,0.0,0.5,7.0,0.19006155525,0.69006155525,1.6530839440262686,-0.14892403349498468,-0.9732753684643478,-1.4129968123506942,1.7158989555846642,1.694854226411995,0.19044414345056448,0.38844072216620934
Angus Gunn,45,3.835800624,7,20,13,8,65.0,-3.164199376,11,2,1,59,22,68.64854822727273,3,3.6666666666666665,0.6666666666666666,0.3333333333333333,7.333333333333333,-1.0547331253333334,1.278600208,-0.6659046319021255,-2.31049395449498,2.793328627823477,0.02962527500826422,-0.9127122104173744,0.6945758549515372,-2.446052509091665,-0.4025190783032667
Bart Verbruggen,65,5.8721633518,6,24,18,16,75.0,-0.1278366481999997,5,4,4,79,23,42.63997823913044,6,0.8333333333333334,0.6666666666666666,0.6666666666666666,3.8333333333333335,-0.0213061080333332,0.9786938919666668,0.30483477197487674,-0.4587125867845007,-0.5767907372761556,0.02962527500826422,-0.4746103494170346,-0.13490178690844323,-0.25723622134745533,-0.22397023353577836
Diogo Meireles Costa,61,10.490188488,8,22,14,15,63.63636363636363,2.490188488,6,0,2,69,30,29.313122516666667,5,1.2,0.0,0.4,6.0,0.4980376975999999,2.0980376976,-0.7982781869762625,1.1379379461132868,-0.14065764296914438,-1.4129968123506942,-1.3508140714177141,-2.015975599413179,0.8427429370059292,-0.5340059185725398
Dominik Livaković,38,3.878436947,6,15,9,17,60.0,-2.121563053,9,0,2,49,15,36.71548246666666,3,3.0,0.0,0.6666666666666666,5.0,-0.7071876843333333,1.2928123156666669,-1.1512743338406266,-1.6746231151672688,2.000359365447093,-1.4129968123506942,-0.4746103494170346,0.6772086756289083,-1.7099452569515636,-0.5351259752358838
Fehmi Mert Günok,58,6.1948474094,4,19,15,18,78.94736842105263,2.1948474094000003,6,5,3,72,30,47.922542066666665,4,1.5,1.25,0.75,7.5,0.5487118523500001,1.54871185235,0.6880213787684302,0.9578187852950872,0.21617852510022859,1.2919196014473528,0.4015933725836449,-0.26634163674945155,0.9500716727827996,0.6056088141754417
Florin Constantin Niţă,70,5.660272231,6,21,15,19,71.42857142857143,-0.3397277690000004,5,4,4,85,47,55.50147946808511,4,1.25,1.0,1.0,11.75,-0.0849319422500001,1.41506805775,-0.04185787226690957,-0.5879382639041207,-0.0811849482909155,0.7509363186877435,-0.4746103494170346,-0.04859155110770521,-0.3919968381335415,-0.12503478634749765
Gianluigi Donnarumma,50,4.1540687872,4,17,13,15,76.47058823529412,0.1540687871999999,7,1,2,60,17,26.33013595882353,4,1.75,0.25,0.5,4.25,0.0385171967999999,1.0385171968,0.44759056666267105,-0.2867873988118948,0.5135419984913727,-0.8720135295910847,0.4015933725836449,0.5649347444135076,-0.1305294275305153,0.09119004660252876
Giorgi Mamardashvili,106,10.3897283929,8,36,28,33,77.77777777777779,2.3897283929000004,1,7,5,119,44,53.7746700909091,4,0.25,1.75,1.25,11.0,0.5974320982250001,2.597432098225,0.574484606385156,1.076670518937552,-1.270638841855492,2.3738861669665714,-1.3508140714177141,-1.9750548922881759,1.0532619957847245,0.0688279260732317
Jan Oblak,66,7.80046908,5,19,14,24,73.68421052631578,2.80046908,3,3,5,77,45,48.897812751111104,4,0.75,0.75,1.25,11.25,0.70011727,1.95011727,0.17710590304369137,1.3271682425357711,-0.6759118950732037,0.2099530359281341,-0.03650848841669485,-0.9203642521051253,1.2707509647475759,0.19317050152287837
