50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,ball_recovery_offensive,block_deflection,dribble_no_touch,dribble_overrun,miscontrol_aerial_won,shot_deflected,shot_one_on_one,goalkeeper_shot_saved_to_post,shot_saved_to_post,block_offensive,goalkeeper_shot_saved_off_target,shot_saved_off_target,foul_committed_penalty,foul_won_penalty,pass_deflected,shot_redirect,goalkeeper_punched_out,shot_open_goal,block_save_block,goalkeeper_success_in_play,goalkeeper_penalty_saved_to_post,shot_follows_dribble,type_name,player_name,team_name,position_name,gk_action,gk_outcome
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[2.9, 41.8]",,Set,,Shot Faced,28b3b2ed-6a92-45fb-929b-840a6f6a5037,172,,,"[2.9, 41.8]",3930166,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Diogo Meireles Costa,32975.0,Goalkeeper,7,Czech Republic,912,['344bbdcd-69ad-4b60-8c7c-6d46826ea988'],39,,,,,,,,,,,,,,,,Portugal,780,00:03:39.997,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Diogo Meireles Costa,Portugal,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[2.4, 41.3]",,Set,,Shot Faced,a3f25234-d20e-4898-adc8-69c5cb9f8a2b,332,,,"[2.4, 41.3]",3930166,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jindřich Staněk,28040.0,Goalkeeper,12,Portugal,780,['a591a39d-bc4a-4f8a-b789-9e09b603a77c'],32,,,,,,,,,,,,,,,,Czech Republic,912,00:07:32.501,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Jindřich Staněk,Czech Republic,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,Claim,,,Keeper Sweeper,51285314-5077-40d6-9bcb-9ed4c8b04fae,341,,,"[12.1, 51.0]",3930166,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Diogo Meireles Costa,32975.0,Goalkeeper,14,Portugal,780,,22,,,,,,,,,,,,,,,,Portugal,780,00:08:22.194,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Diogo Meireles Costa,Portugal,Goalkeeper,Keeper Sweeper,Claim
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[3.6, 41.8]",,Set,,Shot Faced,9bcba742-9881-4ab6-a80d-01bd18e8e958,732,,,"[3.6, 41.8]",3930166,16,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jindřich Staněk,28040.0,Goalkeeper,30,Portugal,780,['7d690123-e372-423f-980c-5c0e281d38dc'],11,,,,,,,,,,,,,,,,Czech Republic,912,00:16:11.343,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Jindřich Staněk,Czech Republic,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[4.0, 36.9]",,Set,,Shot Faced,51bc1829-04c8-4e26-bbf1-24f5638bcd94,943,,,"[4.0, 36.9]",3930166,21,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jindřich Staněk,28040.0,Goalkeeper,36,Portugal,780,['67f08a7a-b659-4692-ab5c-e94c77e69e08'],19,,,,,,,,,,,,,,,,Czech Republic,912,00:21:19.284,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Jindřich Staněk,Czech Republic,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[2.7, 42.7]",,Set,,Shot Faced,3be26033-e4e2-4bef-a0dd-f0cc119837fd,1012,,,"[2.7, 42.7]",3930166,22,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Jindřich Staněk,28040.0,Goalkeeper,38,Portugal,780,['29fc3b39-63b0-4c69-844f-dab9a80a32c1'],56,,,,,,,,,,,,,,,,Czech Republic,912,00:22:56.251,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Jindřich Staněk,Czech Republic,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[3.0, 42.3]",,Set,,Shot Faced,ada54916-0faa-47de-9b47-f645fdac79cc,1036,,,"[3.0, 42.3]",3930166,23,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Jindřich Staněk,28040.0,Goalkeeper,38,Portugal,780,['19357d42-5a3c-4425-badd-301552f7aa9b'],17,,,,,,,,,,,,,,,,Czech Republic,912,00:23:17.642,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Jindřich Staněk,Czech Republic,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,Left Foot,,In Play Danger,Set,Standing,Shot Saved,1d67f03f-d0de-4951-b1c4-133c81d3f082,1363,,,"[5.1, 41.8]",3930166,31,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jindřich Staněk,28040.0,Goalkeeper,49,Portugal,780,['bc44cab9-283f-4e16-918d-0f124a20961f'],14,,,,,,,,,,,,,,,,Czech Republic,912,00:31:14.896,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Jindřich Staněk,Czech Republic,Goalkeeper,Shot Saved,In Play Danger
,,,,,,,,,,,,,,,,0.0,,,,,,,Both Hands,,Success,Set,Standing,Shot Saved,4079dd64-e288-4b60-b6c4-f623d940c976,1368,,,"[2.2, 39.8]",3930166,31,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jindřich Staněk,28040.0,Goalkeeper,49,Portugal,780,['a3cbfb28-8e18-427b-b3d4-847b98fdadcd'],19,,,,,,,,,,,,,,,,Czech Republic,912,00:31:19.375,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Jindřich Staněk,Czech Republic,Goalkeeper,Shot Saved,Success
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[4.8, 41.9]",,Set,,Shot Faced,ed8f0f19-236d-4699-acbb-9b9bff832d6c,1422,,,"[4.8, 41.9]",3930166,32,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jindřich Staněk,28040.0,Goalkeeper,53,Portugal,780,['8c2f7824-4771-4abc-99bc-374dc7171694'],37,,,,,,,,,,,,,,,,Czech Republic,912,00:32:37.078,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Jindřich Staněk,Czech Republic,Goalkeeper,Shot Faced,
