50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,ball_recovery_offensive,block_deflection,dribble_no_touch,dribble_overrun,miscontrol_aerial_won,shot_deflected,shot_one_on_one,goalkeeper_shot_saved_to_post,shot_saved_to_post,block_offensive,goalkeeper_shot_saved_off_target,shot_saved_off_target,foul_committed_penalty,foul_won_penalty,pass_deflected,shot_redirect,goalkeeper_punched_out,shot_open_goal,block_save_block,goalkeeper_success_in_play,goalkeeper_penalty_saved_to_post,shot_follows_dribble,type_name,player_name,team_name,position_name
,,,,,,,,,,,,,,,,2.470713,,,,,,,,,,,,,4c8234d1-6c84-495f-be6f-9a3b9010625b,64,,,"[5.8, 37.6]",3930166,1,True,,,-1.2273715,,Right Foot,,,"[17.1, 6.0]",,Ground Pass,,33.559647,,,,,Nuno Mendes,41092.0,,,,,,Goal Kick,1,From Goal Kick,Diogo Meireles Costa,32975.0,Goalkeeper,4,Portugal,780,['2b5d9003-1605-489a-81d9-eff77cf068bd'],1,,,,,,,,,,,,,,,,Portugal,780,00:01:01.141,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Diogo Meireles Costa,Portugal,Goalkeeper
,,,,,,,,,,,,,,,,3.712135,,,,,,,,,,,,,02e68b68-23a0-4fe1-88a0-4e8c439bdcb2,122,,,"[5.7, 38.1]",3930166,2,,,,-0.08354102,,Right Foot,,,"[67.8, 32.9]",,High Pass,,62.317333,,,,,Jan Kuchta,29484.0,,,,,,Goal Kick,1,From Goal Kick,Jindřich Staněk,28040.0,Goalkeeper,5,Czech Republic,912,['eade9b6e-6f94-4c35-baa8-49b8a279b919'],40,,,,,,,,,,,,,,,,Czech Republic,912,00:02:40.747,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Jindřich Staněk,Czech Republic,Goalkeeper
,,,,,,,,,,,,,,,,2.490943,,,,,,,,,,,,,64a47b2b-452c-4a21-a891-1de4a24fed3d,154,,,"[6.0, 32.3]",3930166,3,,,,1.7475052,,Left Foot,,,"[4.5, 40.7]",,Ground Pass,,8.532878,,,,,Jindřich Staněk,28040.0,,,,,,Goal Kick,1,From Goal Kick,Robin Hranáč,81330.0,Center Back,7,Czech Republic,912,['9d99b163-7ed5-4434-a4e3-54f17da04f36'],24,,,,,,,,,,,,,,,,Czech Republic,912,00:03:24.057,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Robin Hranáč,Czech Republic,Center Back
,,,,,,,,,,,,,,,,5.195093,,,,,,,,,,,,,aa32250b-2803-4e53-b0f0-f21cbc778f6a,333,,,"[6.0, 35.7]",3930166,8,,,,-0.3426457,,Right Foot,,,"[73.0, 11.8]",,High Pass,,71.135155,,,,,Jan Kuchta,29484.0,,,,,,Goal Kick,1,From Goal Kick,Jindřich Staněk,28040.0,Goalkeeper,13,Czech Republic,912,['c72e4c97-af5c-4ec7-83dd-789082020c2d'],11,,,,,,,,,,,,,,,,Czech Republic,912,00:08:11.823,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Jindřich Staněk,Czech Republic,Goalkeeper
,,,,,,,,,,,,,,,,1.38949,,,,,,,,,,,,,5ea9a8a9-f3c7-4497-91bc-cf522fe90bb2,444,,,"[4.7, 42.8]",3930166,10,True,,,0.91686684,,Right Foot,,,"[15.2, 56.5]",,Ground Pass,,17.260939,,,,,Rúben Santos Gato Alves Dias,5206.0,,,,,,Goal Kick,1,From Goal Kick,Diogo Meireles Costa,32975.0,Goalkeeper,16,Portugal,780,['f57bcdfc-15c4-4951-bf1c-e486a87505d6'],16,,,,,,,,,,,,,,,,Portugal,780,00:10:16.157,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Diogo Meireles Costa,Portugal,Goalkeeper
,,,,,,,,,,,,,,,,1.893174,,,,,,,,,,,,,85d70090-6d76-4644-9c98-8cceb6b63b2b,638,,,"[6.0, 36.9]",3930166,14,True,,,-1.4188241,,Right Foot,,,"[7.7, 25.8]",,Ground Pass,,11.229425,,,,,Robin Hranáč,81330.0,,,,,,Goal Kick,1,From Goal Kick,Jindřich Staněk,28040.0,Goalkeeper,29,Czech Republic,912,['488de98e-a8f5-4315-a6aa-78e081523e22'],34,,,,,,,,,,,,,,,,Czech Republic,912,00:14:34.023,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Jindřich Staněk,Czech Republic,Goalkeeper
,,,,,,,,,,,,,,,,4.028294,,,,,,,,,,,,,a9c22040-d84b-4afd-b393-4cd2bc40bea7,733,,,"[6.0, 38.4]",3930166,16,,,,-0.36963436,,Right Foot,,,"[71.3, 13.1]",,High Pass,,70.029854,,,Incomplete,,Patrik Schick,7044.0,,,,,,Goal Kick,1,From Goal Kick,Jindřich Staněk,28040.0,Goalkeeper,31,Czech Republic,912,"['06660113-d037-4075-9b59-b2add9eabd5a', '6b864b93-f771-4d31-9a58-25d80bbaf8f3']",46,,,,,,,,,,,,,,,,Czech Republic,912,00:16:46.609,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Jindřich Staněk,Czech Republic,Goalkeeper
,,,,,,,,,,,,,,,,1.255632,,,,,,,,,,,,,c0b2e377-823e-4a21-8682-331c0ddd162f,1109,,,"[6.0, 30.0]",3930166,25,,,,1.6628432,,Left Foot,,,"[5.4, 36.5]",,Ground Pass,,6.5276337,,,,,Jindřich Staněk,28040.0,,,,,,Goal Kick,1,From Goal Kick,Ladislav Krejčí,28272.0,Left Center Back,44,Czech Republic,912,['71ddeeab-a324-4ebb-93b4-fff7ec3604c6'],48,,,,,,,,,,,,,,,,Czech Republic,912,00:25:48.274,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Ladislav Krejčí,Czech Republic,Left Center Back
,,,,,,,,,,,,,,,,2.495062,,,,,,,,,,,,,69094dff-5d00-48f7-84c6-c8022d133d2d,1250,,,"[2.4, 33.7]",3930166,29,,,,-1.275092,,Right Foot,,,"[11.6, 3.5]",,Ground Pass,,31.57024,,,,,David Doudera,35441.0,,,,,,Goal Kick,1,From Goal Kick,Jindřich Staněk,28040.0,Goalkeeper,48,Czech Republic,912,['1f91963c-f15e-4fd0-b986-5bad7bc91297'],27,,,,,,,,,,,,,,,,Czech Republic,912,00:29:27.675,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Jindřich Staněk,Czech Republic,Goalkeeper
,,,,,,,,,,,,,,,,5.201693,,,,,,,,,,,,,94ee7140-38b0-4cd4-94e2-c0dcc8d4a774,1500,,,"[2.5, 40.3]",3930166,34,,,,0.1734655,,Right Foot,,,"[68.7, 51.9]",,High Pass,,67.20863,,,Incomplete,,Jan Kuchta,29484.0,,,,,,Goal Kick,1,From Goal Kick,Jindřich Staněk,28040.0,Goalkeeper,55,Czech Republic,912,"['2a40d5ab-b90d-4378-b44b-572402112ea0', '81cf2775-fc78-4136-90e1-e79964f1ce93']",55,,,,,,,,,,,,,,,,Czech Republic,912,00:34:55.464,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Jindřich Staněk,Czech Republic,Goalkeeper
