gk_name,shots_faced,xg_faced,goals_conceded,shots_on_target,saves,blocked_shots,save_pct,goals_prevented,sweeper_actions,claims,punches,total_gk_events,goal_kicks,avg_gk_length,matches_played,sweeper_per_match,claims_per_match,punches_per_match,goal_kicks_per_match,gp_per_match,xg_per_match
Anatolii Trubin,26,1.3801231105,1,9,8,9,88.88888888888889,0.3801231105,1,0,1,28,14,49.973491,2,0.5,0.0,0.5,7.0,0.19006155525,0.69006155525
Angus Gunn,45,3.835800624,7,20,13,8,65.0,-3.164199376,11,2,1,59,22,68.64854822727273,3,3.6666666666666665,0.6666666666666666,0.3333333333333333,7.333333333333333,-1.0547331253333334,1.278600208
Bart Verbruggen,65,5.8721633518,6,24,18,16,75.0,-0.12783664819999974,5,4,4,79,23,42.639978239130436,6,0.8333333333333334,0.6666666666666666,0.6666666666666666,3.8333333333333335,-0.021306108033333288,0.9786938919666667
Diogo Meireles Costa,61,10.490188488,8,22,14,15,63.63636363636363,2.4901884879999994,6,0,2,69,30,29.313122516666667,5,1.2,0.0,0.4,6.0,0.4980376975999999,2.0980376975999997
Dominik Livaković,38,3.878436947,6,15,9,17,60.0,-2.121563053,9,0,2,49,15,36.715482466666664,3,3.0,0.0,0.6666666666666666,5.0,-0.7071876843333333,1.2928123156666667
Fehmi Mert Günok,58,6.1948474094,4,19,15,18,78.94736842105263,2.1948474094000003,6,5,3,72,30,47.922542066666665,4,1.5,1.25,0.75,7.5,0.5487118523500001,1.54871185235
Florin Constantin Niţă,70,5.6602722309999995,6,21,15,19,71.42857142857143,-0.33972776900000046,5,4,4,85,47,55.50147946808511,4,1.25,1.0,1.0,11.75,-0.08493194225000011,1.4150680577499999
Gianluigi Donnarumma,50,4.1540687872,4,17,13,15,76.47058823529412,0.15406878719999995,7,1,2,60,17,26.33013595882353,4,1.75,0.25,0.5,4.25,0.038517196799999986,1.0385171968
Giorgi Mamardashvili,106,10.3897283929,8,36,28,33,77.77777777777779,2.3897283929000004,1,7,5,119,44,53.7746700909091,4,0.25,1.75,1.25,11.0,0.5974320982250001,2.597432098225
Jan Oblak,66,7.80046908,5,19,14,24,73.68421052631578,2.80046908,3,3,5,77,45,48.897812751111104,4,0.75,0.75,1.25,11.25,0.70011727,1.95011727
Jindřich Staněk,24,3.0174335257,2,9,7,8,77.77777777777779,1.0174335257,1,1,2,42,24,53.94129445833334,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,8.0,0.33914450856666667,1.0058111752333334
Jordan Pickford,78,9.234790877,9,28,19,21,67.85714285714286,0.234790877,4,4,5,91,51,54.29905210784314,7,0.5714285714285714,0.5714285714285714,0.7142857142857143,7.285714285714286,0.03354155385714286,1.3192558395714287
Kasper Schmeichel,43,4.6901597667,4,16,12,5,75.0,0.6901597666999999,2,1,1,47,23,50.99001108695652,4,0.5,0.25,0.25,5.75,0.17253994167499997,1.172539941675
Koen Casteels,57,3.9283254447,1,15,14,10,93.33333333333333,2.9283254447,5,3,0,65,35,37.232533628571424,4,1.25,0.75,0.0,8.75,0.732081361175,0.982081361175
Manuel Neuer,45,4.176194419,3,13,10,13,76.92307692307693,1.1761944189999998,7,3,0,55,18,26.97616302777778,5,1.4,0.6,0.0,3.6,0.23523888379999996,0.8352388838
Martin Dúbravka,54,6.1905889035,5,17,12,18,70.58823529411765,1.1905889035000001,10,4,8,76,27,56.16460418518518,4,2.5,1.0,2.0,6.75,0.29764722587500003,1.547647225875
Mike Maignan,54,7.993123218,6,21,15,16,71.42857142857143,1.993123218,10,3,4,72,22,30.347750022727272,6,1.6666666666666667,0.5,0.6666666666666666,3.6666666666666665,0.332187203,1.332187203
Patrick Pentz,46,5.7353408045,5,11,6,16,54.54545454545454,0.7353408044999998,7,4,1,59,15,38.69638893333333,4,1.75,1.0,0.25,3.75,0.18383520112499996,1.433835201125
Predrag Rajković,27,2.662512589,2,9,7,6,77.77777777777779,0.6625125889999999,2,4,4,37,17,41.34947011764706,3,0.6666666666666666,1.3333333333333333,1.3333333333333333,5.666666666666667,0.22083752966666662,0.8875041963333333
Péter Gulácsi,38,3.762997269,5,14,9,13,64.28571428571429,-1.237002731,6,1,4,49,15,38.19094136666667,3,2.0,0.3333333333333333,1.3333333333333333,5.0,-0.41233424366666666,1.254332423
Thomas Strakosha,54,4.2601092099999995,4,15,11,17,73.33333333333333,0.26010920999999954,3,2,4,64,28,56.25921196428572,3,1.0,0.6666666666666666,1.3333333333333333,9.333333333333334,0.08670306999999984,1.4200364033333333
Unai Simón Mendibil,65,5.944792861,3,17,14,19,82.35294117647058,2.944792861,9,6,3,83,35,46.54567002857143,6,1.5,1.0,0.5,5.833333333333333,0.49079881016666665,0.9907988101666666
Wojciech Szczęsny,36,3.1344533709999998,5,13,8,7,61.53846153846154,-1.8655466290000002,2,0,2,40,12,47.52708891666666,2,1.0,0.0,1.0,6.0,-0.9327733145000001,1.5672266854999999
Yann Sommer,65,8.596605537,9,17,8,21,47.05882352941176,-0.4033944629999997,4,5,3,78,18,48.3707755,5,0.8,1.0,0.6,3.6,-0.08067889259999994,1.7193211074
