gk_name,team,match_id,minute,period,action_type,action_category,action_outcome,action_x,action_y,body_part,technique
Diogo Meireles Costa,Portugal,3930166,3,1,Shot Faced,Save,,2.9,41.8,,
Jindřich Staněk,Czech Republic,3930166,7,1,Shot Faced,Save,,2.4,41.3,,
Diogo Meireles Costa,Portugal,3930166,8,1,Keeper Sweeper,Sweeper,Claim,12.1,51.0,,
Jindřich Staněk,Czech Republic,3930166,16,1,Shot Faced,Save,,3.6,41.8,,
Jindřich Staněk,Czech Republic,3930166,21,1,Shot Faced,Save,,4.0,36.9,,
Jindřich Staněk,Czech Republic,3930166,22,1,Shot Faced,Save,,2.7,42.7,,
Jindřich Staněk,Czech Republic,3930166,23,1,Shot Faced,Save,,3.0,42.3,,
Jindřich Staněk,Czech Republic,3930166,31,1,Shot Saved,Save,In Play Danger,5.1,41.8,Left Foot,Standing
Jindřich Staněk,Czech Republic,3930166,31,1,Shot Saved,Save,Success,2.2,39.8,Both Hands,Standing
Jindřich Staněk,Czech Republic,3930166,32,1,Shot Faced,Save,,4.8,41.9,,
Jindřich Staněk,Czech Republic,3930166,45,1,Shot Saved,Save,In Play Safe,2.4,37.3,Both Hands,Standing
Jindřich Staněk,Czech Republic,3930166,45,2,Shot Faced,Save,,2.6,37.4,,
Jindřich Staněk,Czech Republic,3930166,51,2,Shot Faced,Save,,2.5,38.0,,
Jindřich Staněk,Czech Republic,3930166,54,2,Shot Faced,Save,,1.1,39.2,,
Jindřich Staněk,Czech Republic,3930166,55,2,Punch,Punch,In Play Danger,3.3,41.9,,
Jindřich Staněk,Czech Republic,3930166,57,2,Shot Saved,Save,Saved Twice,1.6,38.6,Both Hands,Standing
Jindřich Staněk,Czech Republic,3930166,59,2,Shot Faced,Save,,2.5,44.3,,
Diogo Meireles Costa,Portugal,3930166,61,2,Shot Faced,Save,,1.0,38.3,,
Diogo Meireles Costa,Portugal,3930166,61,2,Goal Conceded,Other,No Touch,1.9,37.9,,Diving
Jindřich Staněk,Czech Republic,3930166,68,2,Shot Saved,Save,In Play Danger,1.6,43.6,Both Hands,Standing
Jindřich Staněk,Czech Republic,3930166,71,2,Shot Saved,Save,Touched Out,1.6,44.2,Chest,Standing
Jindřich Staněk,Czech Republic,3930166,77,2,Shot Saved,Save,Touched Out,3.1,41.4,Both Hands,Standing
Jindřich Staněk,Czech Republic,3930166,80,2,Shot Faced,Save,,2.0,43.8,,
Diogo Meireles Costa,Portugal,3930166,80,2,Shot Faced,Save,,2.6,38.2,,
Diogo Meireles Costa,Portugal,3930166,80,2,Shot Faced,Save,,2.6,39.1,,
Jindřich Staněk,Czech Republic,3930166,91,2,Goal Conceded,Other,No Touch,1.5,42.0,,Standing
Yann Sommer,Switzerland,3930159,1,1,Shot Faced,Save,,1.2,42.3,,
Yann Sommer,Switzerland,3930159,9,1,Shot Faced,Save,,2.8,38.2,,
Péter Gulácsi,Hungary,3930159,11,1,Goal Conceded,Other,No Touch,7.4,39.1,,Standing
Yann Sommer,Switzerland,3930159,18,1,Collected,Other,Collected Twice,8.1,33.9,,
Péter Gulácsi,Hungary,3930159,19,1,Shot Saved,Save,Touched Out,7.6,35.8,Right Hand,Standing
Péter Gulácsi,Hungary,3930159,21,1,Punch,Punch,In Play Safe,4.8,36.2,,
Péter Gulácsi,Hungary,3930159,21,1,Shot Faced,Save,,4.3,38.1,,
Péter Gulácsi,Hungary,3930159,28,1,Shot Faced,Save,,3.1,37.8,,
Yann Sommer,Switzerland,3930159,32,1,Collected,Other,Success,2.4,37.8,,
Yann Sommer,Switzerland,3930159,39,1,Shot Saved,Save,Success,1.0,40.0,Both Hands,Standing
Péter Gulácsi,Hungary,3930159,44,1,Goal Conceded,Other,No Touch,3.5,41.1,,Diving
Péter Gulácsi,Hungary,3930159,46,2,Shot Faced,Save,,2.1,36.6,,
Péter Gulácsi,Hungary,3930159,47,2,Shot Saved,Save,Touched Out,2.8,42.9,Both Hands,Standing
Péter Gulácsi,Hungary,3930159,49,2,Keeper Sweeper,Sweeper,Claim,15.1,30.5,,
Péter Gulácsi,Hungary,3930159,53,2,Shot Saved,Save,Success,3.0,42.3,Both Hands,Standing
Péter Gulácsi,Hungary,3930159,57,2,Shot Faced,Save,,2.6,38.4,,
Yann Sommer,Switzerland,3930159,62,2,Shot Faced,Save,,0.6,40.1,,
Yann Sommer,Switzerland,3930159,65,2,Goal Conceded,Other,No Touch,1.1,39.2,,Standing
Yann Sommer,Switzerland,3930159,68,2,Shot Faced,Save,,1.9,40.9,,
Péter Gulácsi,Hungary,3930159,70,2,Shot Faced,Save,,2.2,43.5,,
Péter Gulácsi,Hungary,3930159,71,2,Shot Faced,Save,,1.3,40.2,,
Yann Sommer,Switzerland,3930159,72,2,Collected,Other,Success,1.4,39.7,,
Péter Gulácsi,Hungary,3930159,74,2,Keeper Sweeper,Sweeper,Claim,8.4,46.1,,
