gk_name,zone_x,zone_y,pass_count,avg_length,complete_count,zone_label,accuracy
Altay Bayındır,1,3,1,11.1,1,Own 6yd Left-Center,100.0
Altay Bayındır,1,5,1,4.8,1,Own 6yd Center,100.0
Altay Bayındır,4,3,1,26.2,1,Own Def 3rd Left-Center,100.0
Anatolii Trubin,2,2,1,26.1,1,Own Box Left,100.0
Anatolii Trubin,2,4,1,14.4,1,Own Box Center,100.0
Anatolii Trubin,3,2,1,31.2,1,Own Def 3rd Left,100.0
Anatolii Trubin,3,7,1,20.0,1,Own Def 3rd Right,100.0
Anatolii Trubin,4,1,1,42.6,1,Own Def 3rd Left,100.0
Anatolii Trubin,4,3,1,35.6,1,Own Def 3rd Left-Center,100.0
Anatolii Trubin,5,3,1,40.0,1,Own Mid 3rd Left-Center,100.0
Anatolii Trubin,7,5,1,64.9,0,Opp Mid 3rd Center,0.0
Anatolii Trubin,7,7,1,64.9,0,Opp Mid 3rd Right,0.0
Anatolii Trubin,8,4,1,67.0,1,Opp Mid 3rd Center,100.0
Anatolii Trubin,8,6,2,67.4,0,Opp Mid 3rd Right-Center,0.0
Anatolii Trubin,8,8,1,71.8,1,Opp Mid 3rd Right,100.0
Anatolii Trubin,10,5,1,86.3,0,Opp Att 3rd Center,0.0
Andriy Lunin,1,6,1,14.5,1,Own 6yd Right-Center,100.0
Andriy Lunin,2,2,1,24.8,1,Own Box Left,100.0
Andriy Lunin,2,6,1,19.7,1,Own Box Right-Center,100.0
Andriy Lunin,3,6,1,23.1,1,Own Def 3rd Right-Center,100.0
Angus Gunn,2,3,1,19.6,1,Own Box Left-Center,100.0
Angus Gunn,2,5,1,8.4,1,Own Box Center,100.0
Angus Gunn,7,6,1,63.2,1,Opp Mid 3rd Right-Center,100.0
Angus Gunn,8,1,2,71.9,2,Opp Mid 3rd Left,100.0
Angus Gunn,8,2,3,72.2,1,Opp Mid 3rd Left,33.3
Angus Gunn,8,6,1,68.1,0,Opp Mid 3rd Right-Center,0.0
Angus Gunn,8,7,4,69.4,1,Opp Mid 3rd Right,25.0
Angus Gunn,8,8,3,72.6,1,Opp Mid 3rd Right,33.3
Angus Gunn,9,4,1,74.4,0,Opp Att 3rd Center,0.0
Angus Gunn,9,6,1,79.7,0,Opp Att 3rd Right-Center,0.0
Angus Gunn,9,8,2,82.9,1,Opp Att 3rd Right,50.0
Angus Gunn,10,5,1,88.5,0,Opp Att 3rd Center,0.0
Angus Gunn,10,7,1,86.6,0,Opp Att 3rd Right,0.0
Bart Verbruggen,1,6,1,10.3,1,Own 6yd Right-Center,100.0
Bart Verbruggen,2,2,1,18.5,1,Own Box Left,100.0
Bart Verbruggen,2,3,1,16.6,1,Own Box Left-Center,100.0
Bart Verbruggen,2,4,1,16.2,1,Own Box Center,100.0
Bart Verbruggen,2,6,6,16.3,6,Own Box Right-Center,100.0
Bart Verbruggen,3,5,1,22.1,1,Own Def 3rd Center,100.0
Bart Verbruggen,3,6,1,20.9,1,Own Def 3rd Right-Center,100.0
Bart Verbruggen,4,4,1,34.2,1,Own Def 3rd Center,100.0
Bart Verbruggen,5,1,1,49.7,1,Own Mid 3rd Left,100.0
Bart Verbruggen,7,6,1,59.5,1,Opp Mid 3rd Right-Center,100.0
Bart Verbruggen,8,2,1,67.2,0,Opp Mid 3rd Left,0.0
Bart Verbruggen,8,3,1,71.1,1,Opp Mid 3rd Left-Center,100.0
Bart Verbruggen,8,7,1,74.4,0,Opp Mid 3rd Right,0.0
Bart Verbruggen,9,2,1,81.6,0,Opp Att 3rd Left,0.0
Bart Verbruggen,9,5,1,83.2,0,Opp Att 3rd Center,0.0
Bart Verbruggen,9,6,2,77.6,1,Opp Att 3rd Right-Center,50.0
Bart Verbruggen,11,7,1,101.8,0,Opp Box Right,0.0
David Raya Martin,1,3,1,15.2,1,Own 6yd Left-Center,100.0
David Raya Martin,7,1,1,68.5,1,Opp Mid 3rd Left,100.0
David Raya Martin,7,3,1,65.7,0,Opp Mid 3rd Left-Center,0.0
David Raya Martin,8,1,1,72.5,1,Opp Mid 3rd Left,100.0
David Raya Martin,8,3,1,68.5,0,Opp Mid 3rd Left-Center,0.0
Diogo Meireles Costa,1,3,1,12.6,1,Own 6yd Left-Center,100.0
Diogo Meireles Costa,1,5,1,9.6,1,Own 6yd Center,100.0
Diogo Meireles Costa,2,1,1,33.6,1,Own Box Left,100.0
Diogo Meireles Costa,2,2,1,24.9,1,Own Box Left,100.0
Diogo Meireles Costa,2,3,2,10.9,2,Own Box Left-Center,100.0
Diogo Meireles Costa,2,4,1,8.4,1,Own Box Center,100.0
Diogo Meireles Costa,2,5,2,18.4,2,Own Box Center,100.0
Diogo Meireles Costa,2,6,3,17.0,3,Own Box Right-Center,100.0
Diogo Meireles Costa,2,7,2,24.4,2,Own Box Right,100.0
Diogo Meireles Costa,3,1,2,35.0,2,Own Def 3rd Left,100.0
Diogo Meireles Costa,3,3,2,24.4,2,Own Def 3rd Left-Center,100.0
Diogo Meireles Costa,3,4,2,22.4,2,Own Def 3rd Center,100.0
Diogo Meireles Costa,4,1,2,42.7,2,Own Def 3rd Left,100.0
Diogo Meireles Costa,4,2,2,31.6,2,Own Def 3rd Left,100.0
Diogo Meireles Costa,4,5,1,27.2,1,Own Def 3rd Center,100.0
Diogo Meireles Costa,4,8,2,39.3,2,Own Def 3rd Right,100.0
Diogo Meireles Costa,5,2,1,42.2,1,Own Mid 3rd Left,100.0
Diogo Meireles Costa,8,4,1,73.4,0,Opp Mid 3rd Center,0.0
Diogo Meireles Costa,11,6,1,98.3,0,Opp Box Right-Center,0.0
Dominik Livaković,1,3,1,17.3,1,Own 6yd Left-Center,100.0
Dominik Livaković,1,4,2,11.1,2,Own 6yd Center,100.0
Dominik Livaković,1,5,1,10.1,1,Own 6yd Center,100.0
Dominik Livaković,1,6,1,14.1,1,Own 6yd Right-Center,100.0
Dominik Livaković,1,8,1,34.8,1,Own 6yd Right,100.0
Dominik Livaković,2,4,1,9.3,1,Own Box Center,100.0
Dominik Livaković,2,6,1,17.1,1,Own Box Right-Center,100.0
Dominik Livaković,3,3,1,25.2,1,Own Def 3rd Left-Center,100.0
Dominik Livaković,4,3,1,29.7,1,Own Def 3rd Left-Center,100.0
Dominik Livaković,7,8,1,66.2,1,Opp Mid 3rd Right,100.0
Dominik Livaković,8,1,1,82.3,0,Opp Mid 3rd Left,0.0
Dominik Livaković,8,8,1,69.3,1,Opp Mid 3rd Right,100.0
Dominik Livaković,9,3,1,76.9,0,Opp Att 3rd Left-Center,0.0
Dominik Livaković,9,5,1,76.2,0,Opp Att 3rd Center,0.0
Fehmi Mert Günok,1,3,1,18.9,1,Own 6yd Left-Center,100.0
Fehmi Mert Günok,1,6,1,18.8,1,Own 6yd Right-Center,100.0
Fehmi Mert Günok,1,7,1,17.0,1,Own 6yd Right,100.0
Fehmi Mert Günok,2,1,1,37.1,1,Own Box Left,100.0
Fehmi Mert Günok,2,5,1,12.8,1,Own Box Center,100.0
Fehmi Mert Günok,2,6,2,13.4,2,Own Box Right-Center,100.0
Fehmi Mert Günok,2,7,1,14.3,1,Own Box Right,100.0
Fehmi Mert Günok,3,1,1,33.7,1,Own Def 3rd Left,100.0
Fehmi Mert Günok,3,5,1,13.4,1,Own Def 3rd Center,100.0
Fehmi Mert Günok,3,8,1,35.6,1,Own Def 3rd Right,100.0
Fehmi Mert Günok,4,5,1,28.9,1,Own Def 3rd Center,100.0
Fehmi Mert Günok,4,7,1,33.7,1,Own Def 3rd Right,100.0
Fehmi Mert Günok,6,2,1,52.3,1,Own Mid 3rd Left,100.0
Fehmi Mert Günok,6,4,1,51.8,0,Own Mid 3rd Center,0.0
Fehmi Mert Günok,7,2,1,59.6,0,Opp Mid 3rd Left,0.0
Fehmi Mert Günok,7,3,1,59.7,0,Opp Mid 3rd Left-Center,0.0
