gk_name,team,match_id,minute,period,pass_type,pass_length,is_long,is_short,is_complete,pass_outcome,start_x,start_y,end_x,end_y,pass_height,pass_body_part
Diogo Meireles Costa,Portugal,3930166,1,1,Goal Kick,33.6,1,0,1,Complete,5.8,37.6,17.1,6.0,Ground Pass,Right Foot
Jindřich Staněk,Czech Republic,3930166,2,1,Goal Kick,62.3,1,0,1,Complete,5.7,38.1,67.8,32.9,High Pass,Right Foot
Jindřich Staněk,Czech Republic,3930166,8,1,Goal Kick,71.1,1,0,1,Complete,6.0,35.7,73.0,11.8,High Pass,Right Foot
Diogo Meireles Costa,Portugal,3930166,10,1,Goal Kick,17.3,0,1,1,Complete,4.7,42.8,15.2,56.5,Ground Pass,Right Foot
Jindřich Staněk,Czech Republic,3930166,14,1,Goal Kick,11.2,0,1,1,Complete,6.0,36.9,7.7,25.8,Ground Pass,Right Foot
Jindřich Staněk,Czech Republic,3930166,16,1,Goal Kick,70.0,1,0,0,Incomplete,6.0,38.4,71.3,13.1,High Pass,Right Foot
Jindřich Staněk,Czech Republic,3930166,29,1,Goal Kick,31.6,0,1,1,Complete,2.4,33.7,11.6,3.5,Ground Pass,Right Foot
Jindřich Staněk,Czech Republic,3930166,34,1,Goal Kick,67.2,1,0,0,Incomplete,2.5,40.3,68.7,51.9,High Pass,Right Foot
Jindřich Staněk,Czech Republic,3930166,43,1,Goal Kick,71.5,1,0,0,Incomplete,6.0,45.2,75.3,63.0,High Pass,Right Foot
Jindřich Staněk,Czech Republic,3930166,46,2,Goal Kick,70.7,1,0,1,Complete,7.0,46.6,75.4,64.6,High Pass,Right Foot
Jindřich Staněk,Czech Republic,3930166,48,2,Goal Kick,70.7,1,0,0,Incomplete,7.0,46.6,77.6,49.7,High Pass,Right Foot
Diogo Meireles Costa,Portugal,3930166,50,2,Goal Kick,73.4,1,0,0,Incomplete,6.0,40.4,78.9,31.7,High Pass,Right Foot
Jindřich Staněk,Czech Republic,3930166,51,2,Goal Kick,62.7,1,0,0,Incomplete,7.0,36.9,69.4,31.0,High Pass,Right Foot
Jindřich Staněk,Czech Republic,3930166,61,2,Goal Kick,70.1,1,0,0,Incomplete,7.0,37.3,76.6,28.8,High Pass,Right Foot
