gk_name,zone_x,zone_y,shot_count,total_xg,avg_xg,goals,saves,zone_label
Altay Bayındır,1,1,0,0.0,,0,0,Long Range
Altay Bayındır,1,2,0,0.0,,0,0,Long Range
Altay Bayındır,1,3,0,0.0,,0,0,Long Range
Altay Bayındır,1,4,0,0.0,,0,0,Long Range
Altay Bayındır,1,5,0,0.0,,0,0,Long Range
Altay Bayındır,2,1,0,0.0,,0,0,Edge of Box
Altay Bayındır,2,2,0,0.0,,0,0,Edge of Box
Altay Bayındır,2,3,0,0.0,,0,0,Edge of Box
Altay Bayındır,2,4,0,0.0,,0,0,Edge of Box
Altay Bayındır,2,5,0,0.0,,0,0,Edge of Box
Altay Bayındır,3,1,0,0.0,,0,0,Penalty Area
Altay Bayındır,3,2,0,0.0,,0,0,Penalty Area
Altay Bayındır,3,3,0,0.0,,0,0,Penalty Area
Altay Bayındır,3,4,0,0.0,,0,0,Penalty Area
Altay Bayındır,3,5,0,0.0,,0,0,Penalty Area
Altay Bayındır,4,1,0,0.0,,0,0,Central Box
Altay Bayındır,4,2,0,0.0,,0,0,Central Box
Altay Bayındır,4,3,1,0.041,0.041,0,0,Central Box
Altay Bayındır,4,4,1,0.025,0.025,0,0,Central Box
Altay Bayındır,4,5,0,0.0,,0,0,Central Box
Altay Bayındır,5,1,0,0.0,,0,0,Close Range
Altay Bayındır,5,2,2,0.094,0.047,0,0,Close Range
Altay Bayındır,5,3,3,0.526,0.175,1,0,Close Range
Altay Bayındır,5,4,2,0.103,0.051,0,1,Close Range
Altay Bayındır,5,5,0,0.0,,0,0,Close Range
Altay Bayındır,6,1,0,0.0,,0,0,6-Yard Box
Altay Bayındır,6,2,0,0.0,,0,0,6-Yard Box
Altay Bayındır,6,3,3,1.113,0.371,1,0,6-Yard Box
Altay Bayındır,6,4,0,0.0,,0,0,6-Yard Box
Altay Bayındır,6,5,0,0.0,,0,0,6-Yard Box
Anatolii Trubin,1,1,0,0.0,,0,0,Long Range
Anatolii Trubin,1,2,0,0.0,,0,0,Long Range
Anatolii Trubin,1,3,0,0.0,,0,0,Long Range
Anatolii Trubin,1,4,0,0.0,,0,0,Long Range
Anatolii Trubin,1,5,0,0.0,,0,0,Long Range
Anatolii Trubin,2,1,0,0.0,,0,0,Edge of Box
Anatolii Trubin,2,2,0,0.0,,0,0,Edge of Box
Anatolii Trubin,2,3,0,0.0,,0,0,Edge of Box
Anatolii Trubin,2,4,0,0.0,,0,0,Edge of Box
Anatolii Trubin,2,5,0,0.0,,0,0,Edge of Box
Anatolii Trubin,3,1,0,0.0,,0,0,Penalty Area
Anatolii Trubin,3,2,0,0.0,,0,0,Penalty Area
Anatolii Trubin,3,3,1,0.018,0.018,0,0,Penalty Area
Anatolii Trubin,3,4,0,0.0,,0,0,Penalty Area
Anatolii Trubin,3,5,1,0.006,0.006,0,0,Penalty Area
Anatolii Trubin,4,1,0,0.0,,0,0,Central Box
Anatolii Trubin,4,2,4,0.063,0.016,0,0,Central Box
Anatolii Trubin,4,3,1,0.034,0.034,0,0,Central Box
Anatolii Trubin,4,4,3,0.112,0.037,0,1,Central Box
Anatolii Trubin,4,5,0,0.0,,0,0,Central Box
Anatolii Trubin,5,1,0,0.0,,0,0,Close Range
Anatolii Trubin,5,2,4,0.151,0.038,0,3,Close Range
Anatolii Trubin,5,3,6,0.311,0.052,0,1,Close Range
Anatolii Trubin,5,4,2,0.096,0.048,0,1,Close Range
Anatolii Trubin,5,5,0,0.0,,0,0,Close Range
Anatolii Trubin,6,1,0,0.0,,0,0,6-Yard Box
Anatolii Trubin,6,2,2,0.316,0.158,0,1,6-Yard Box
Anatolii Trubin,6,3,2,0.273,0.137,1,1,6-Yard Box
Anatolii Trubin,6,4,0,0.0,,0,0,6-Yard Box
Anatolii Trubin,6,5,0,0.0,,0,0,6-Yard Box
Andriy Lunin,1,1,0,0.0,,0,0,Long Range
Andriy Lunin,1,2,0,0.0,,0,0,Long Range
Andriy Lunin,1,3,0,0.0,,0,0,Long Range
Andriy Lunin,1,4,0,0.0,,0,0,Long Range
Andriy Lunin,1,5,0,0.0,,0,0,Long Range
Andriy Lunin,2,1,0,0.0,,0,0,Edge of Box
Andriy Lunin,2,2,0,0.0,,0,0,Edge of Box
Andriy Lunin,2,3,0,0.0,,0,0,Edge of Box
Andriy Lunin,2,4,0,0.0,,0,0,Edge of Box
Andriy Lunin,2,5,0,0.0,,0,0,Edge of Box
