gk_name,total_passes,long_balls,short_balls,long_complete,short_complete,avg_pass_length,avg_long_length,avg_short_length,matches_played,long_per_match,short_per_match,long_accuracy,short_accuracy,long_pct,short_pct,long_ball_rank,short_ball_rank
Florin Constantin Niţă,47,39,8,14,8,55.5,63.0,19.0,4.0,9.75,2.0,35.9,100.0,83.0,17.0,1,18
Jan Oblak,45,34,11,13,11,48.9,59.7,15.5,4.0,8.5,2.75,38.2,100.0,75.6,24.4,2,10
Giorgi Mamardashvili,44,32,12,9,12,53.8,66.8,18.9,4.0,8.0,3.0,28.1,100.0,72.7,27.3,3,5
Thomas Strakosha,28,23,5,14,5,56.3,65.4,14.2,3.0,7.67,1.67,60.9,100.0,82.1,17.9,4,24
Angus Gunn,22,20,2,7,2,68.6,74.1,14.0,3.0,6.67,0.67,35.0,100.0,90.9,9.1,5,28
Jindřich Staněk,24,17,7,7,7,53.9,69.1,17.1,3.0,5.67,2.33,41.2,100.0,70.8,29.2,6,15
Jordan Pickford,51,37,14,21,14,54.3,68.5,16.7,7.0,5.29,2.0,56.8,100.0,72.5,27.5,7,18
Fehmi Mert Günok,30,21,9,9,9,47.9,61.3,16.8,4.0,5.25,2.25,42.9,100.0,70.0,30.0,8,16
Anatolii Trubin,14,10,4,5,4,50.0,60.8,22.9,2.0,5.0,2.0,50.0,100.0,71.4,28.6,9,18
Łukasz Skorupski,13,5,8,2,8,35.7,74.9,11.2,1.0,5.0,8.0,40.0,100.0,38.5,61.5,9,1
Martin Dúbravka,27,19,8,7,8,56.2,71.3,20.2,4.0,4.75,2.0,36.8,100.0,70.4,29.6,11,18
Kasper Schmeichel,23,17,6,13,6,51.0,63.9,14.5,4.0,4.25,1.5,76.5,100.0,73.9,26.1,12,25
David Raya Martin,5,4,1,2,1,58.1,68.8,15.2,1.0,4.0,1.0,50.0,100.0,80.0,20.0,13,27
Koen Casteels,35,16,19,8,19,37.2,63.9,14.8,4.0,4.0,4.75,50.0,100.0,45.7,54.3,13,2
Wojciech Szczęsny,12,8,4,2,4,47.5,63.9,14.7,2.0,4.0,2.0,25.0,100.0,66.7,33.3,13,18
Unai Simón Mendibil,35,19,16,6,16,46.5,73.0,15.1,6.0,3.17,2.67,31.6,100.0,54.3,45.7,16,11
Predrag Rajković,17,8,9,4,9,41.3,68.2,17.5,3.0,2.67,3.0,50.0,100.0,47.1,52.9,17,5
Yann Sommer,18,12,6,3,6,48.4,63.5,18.2,5.0,2.4,1.2,25.0,100.0,66.7,33.3,18,26
Péter Gulácsi,15,7,8,4,8,38.2,61.7,17.6,3.0,2.33,2.67,57.1,100.0,46.7,53.3,19,11
Diogo Meireles Costa,30,10,20,8,20,29.3,48.4,19.7,5.0,2.0,4.0,80.0,100.0,33.3,66.7,20,3
Dominik Livaković,15,6,9,3,9,36.7,67.6,16.1,3.0,2.0,3.0,50.0,100.0,40.0,60.0,20,5
Matěj Kovář,2,2,0,2,0,56.3,56.3,,1.0,2.0,0.0,100.0,0.0,100.0,0.0,20,29
Bart Verbruggen,23,11,12,5,12,42.6,70.7,16.9,6.0,1.83,2.0,45.5,100.0,47.8,52.2,23,18
Patrick Pentz,15,6,9,2,9,38.7,74.1,15.1,4.0,1.5,2.25,33.3,100.0,40.0,60.0,24,16
Gianluigi Donnarumma,17,5,12,2,12,26.3,55.0,14.4,4.0,1.25,3.0,40.0,100.0,29.4,70.6,25,5
Manuel Neuer,18,6,12,4,12,27.0,47.5,16.7,5.0,1.2,2.4,66.7,100.0,33.3,66.7,26,14
Mike Maignan,22,6,16,3,15,30.4,62.5,18.3,6.0,1.0,2.67,50.0,93.8,27.3,72.7,27,11
Altay Bayındır,3,0,3,0,3,14.0,,14.0,1.0,0.0,3.0,0.0,100.0,0.0,100.0,28,5
Andriy Lunin,4,0,4,0,4,20.5,,20.5,1.0,0.0,4.0,0.0,100.0,0.0,100.0,28,3
