match_id,shooter,shooting_team,goalkeeper,xg,outcome,shot_x,shot_y,minute,period,is_goal,is_save,is_on_target,distance_to_goal,danger_zone
3930166,Pavel Šulc,Czech Republic,Diogo Meireles Costa,0.0605,Blocked,103.0,33.9,3,1,0,0,0,18.061284561182244,Penalty area edge
3930166,Cristiano Ronaldo dos Santos Aveiro,Portugal,Jindřich Staněk,0.0544,Off T,108.6,40.1,7,1,0,0,0,11.400438588054413,Penalty area close
3930166,Nuno Mendes,Portugal,Jindřich Staněk,0.0072,Off T,89.6,25.3,16,1,0,0,0,33.76758800980609,Outside box
3930166,Rúben Santos Gato Alves Dias,Portugal,Jindřich Staněk,0.0317,Blocked,99.7,52.2,21,1,0,0,0,23.683960817397075,Penalty area edge
3930166,João Pedro Cavaco Cancelo,Portugal,Jindřich Staněk,0.0283,Blocked,104.7,25.1,22,1,0,0,0,21.356497840235882,Penalty area edge
3930166,Bruno Miguel Borges Fernandes,Portugal,Jindřich Staněk,0.0056,Blocked,92.6,20.6,23,1,0,0,0,33.57260788202192,Outside box
3930166,Cristiano Ronaldo dos Santos Aveiro,Portugal,Jindřich Staněk,0.4917,Saved,109.8,36.7,31,1,0,1,1,10.720541031123386,Penalty area close
3930166,Vitor Machado Ferreira,Portugal,Jindřich Staněk,0.0372,Saved,96.7,32.6,31,1,0,1,1,24.446881191677598,Penalty area edge
3930166,Vitor Machado Ferreira,Portugal,Jindřich Staněk,0.1527,Blocked,106.6,35.4,32,1,0,0,0,14.167568598739877,Penalty area close
3930166,Cristiano Ronaldo dos Santos Aveiro,Portugal,Jindřich Staněk,0.0786,Saved,107.9,51.7,45,1,0,1,1,16.831518053936787,Penalty area close
3930166,José Diogo Dalot Teixeira,Portugal,Jindřich Staněk,0.0229,Off T,99.2,55.7,45,2,0,0,0,26.06012279326404,Outside box
3930166,Bernardo Mota Veiga de Carvalho e Silva,Portugal,Jindřich Staněk,0.0326,Off T,101.9,56.1,51,2,0,0,0,24.22436789681002,Penalty area edge
3930166,Cristiano Ronaldo dos Santos Aveiro,Portugal,Jindřich Staněk,0.0914,Blocked,111.8,40.5,54,2,0,0,0,8.215229759416353,6-yard box
3930166,Cristiano Ronaldo dos Santos Aveiro,Portugal,Jindřich Staněk,0.0524,Saved,92.3,38.0,57,2,0,1,1,27.77210831031739,Outside box
3930166,Rafael Alexandre Conceição Leão,Portugal,Jindřich Staněk,0.0086,Blocked,107.9,20.4,59,2,0,0,0,23.034105148670307,Penalty area edge
3930166,Mojmír Chytil,Czech Republic,Diogo Meireles Costa,0.0403,Wayward,107.6,41.8,61,2,0,0,0,12.529964086141673,Penalty area close
3930166,Lukáš Provod,Czech Republic,Diogo Meireles Costa,0.0359,Goal,98.3,48.1,61,2,1,0,1,23.162469643800943,Penalty area edge
3930166,Nuno Mendes,Portugal,Jindřich Staněk,0.0452,Saved,115.0,30.7,68,2,0,1,1,10.558882516630252,Penalty area close
3930166,Bernardo Mota Veiga de Carvalho e Silva,Portugal,Jindřich Staněk,0.0675,Saved,108.9,25.4,71,2,0,1,1,18.340392580312994,Penalty area edge
3930166,Vitor Machado Ferreira,Portugal,Jindřich Staněk,0.032,Saved,91.3,35.1,77,2,0,1,1,29.115288080319594,Outside box
3930166,Bruno Miguel Borges Fernandes,Portugal,Jindřich Staněk,0.0077,Blocked,107.1,16.8,80,2,0,0,0,26.545244395183104,Outside box
3930166,Petr Ševčík,Czech Republic,Diogo Meireles Costa,0.1126,Blocked,106.1,44.5,80,2,0,0,0,14.610270360263705,Penalty area close
3930166,Tomáš Souček,Czech Republic,Diogo Meireles Costa,0.0655,Off T,100.6,44.7,80,2,0,0,0,19.961212388028947,Penalty area edge
3930166,Francisco Fernandes Conceição,Portugal,Jindřich Staněk,0.59,Goal,115.7,36.1,91,2,1,0,1,5.805170109479994,6-yard box
3930159,Attila Szalai,Hungary,Yann Sommer,0.096,Wayward,110.6,27.7,1,1,0,0,0,15.48063306199072,Penalty area close
3930159,Roland Sallai,Hungary,Yann Sommer,0.0448,Off T,98.1,48.0,9,1,0,0,0,23.315445524372898,Penalty area edge
3930159,Kwadwo Duah,Switzerland,Péter Gulácsi,0.3886,Goal,108.4,41.6,11,1,1,0,1,11.709824934643551,Penalty area close
