gk_name,rank,metric,z_score,weight
Koen Casteels,1,Save %,2.0845,0.3
Koen Casteels,1,Goals Prevented,1.4051,0.35
Koen Casteels,1,Sweeper/Match,-0.0812,0.15
Koen Casteels,1,Claims/Match,0.0,0.1
Koen Casteels,1,Goals Conceded (inv.),1.7159,0.1
Koen Casteels,1,Goals Prev./Match,1.3385,0.0
Koen Casteels,1,xG Faced (inv.),0.6569,0.0
Unai Simón Mendibil,2,Save %,1.0186,0.3
Unai Simón Mendibil,2,Goals Prevented,1.4152,0.35
Unai Simón Mendibil,2,Sweeper/Match,0.2162,0.15
Unai Simón Mendibil,2,Claims/Match,0.0,0.1
Unai Simón Mendibil,2,Goals Conceded (inv.),0.8397,0.1
Unai Simón Mendibil,2,Goals Prev./Match,0.8274,0.0
Unai Simón Mendibil,2,xG Faced (inv.),-0.1645,0.0
Fehmi Mert Günok,3,Save %,0.688,0.3
Fehmi Mert Günok,3,Goals Prevented,0.9578,0.35
Fehmi Mert Günok,3,Sweeper/Match,0.2162,0.15
Fehmi Mert Günok,3,Claims/Match,0.0,0.1
Fehmi Mert Günok,3,Goals Conceded (inv.),0.4016,0.1
Fehmi Mert Günok,3,Goals Prev./Match,0.9501,0.0
Fehmi Mert Günok,3,xG Faced (inv.),-0.2663,0.0
Anatolii Trubin,4,Save %,1.6531,0.3
Anatolii Trubin,4,Goals Prevented,-0.1489,0.35
Anatolii Trubin,4,Sweeper/Match,-0.9733,0.15
Anatolii Trubin,4,Claims/Match,0.0,0.1
Anatolii Trubin,4,Goals Conceded (inv.),1.7159,0.1
Anatolii Trubin,4,Goals Prev./Match,0.1904,0.0
Anatolii Trubin,4,xG Faced (inv.),1.6949,0.0
Jan Oblak,5,Save %,0.1771,0.3
Jan Oblak,5,Goals Prevented,1.3272,0.35
Jan Oblak,5,Sweeper/Match,-0.6759,0.15
Jan Oblak,5,Claims/Match,0.0,0.1
Jan Oblak,5,Goals Conceded (inv.),-0.0365,0.1
Jan Oblak,5,Goals Prev./Match,1.2708,0.0
Jan Oblak,5,xG Faced (inv.),-0.9204,0.0
Manuel Neuer,6,Save %,0.4915,0.3
Manuel Neuer,6,Goals Prevented,0.3366,0.35
Manuel Neuer,6,Sweeper/Match,0.0972,0.15
Manuel Neuer,6,Claims/Match,0.0,0.1
Manuel Neuer,6,Goals Conceded (inv.),0.8397,0.1
Manuel Neuer,6,Goals Prev./Match,0.2861,0.0
Manuel Neuer,6,xG Faced (inv.),0.5559,0.0
Mike Maignan,7,Save %,-0.0419,0.3
Mike Maignan,7,Goals Prevented,0.8348,0.35
Mike Maignan,7,Sweeper/Match,0.4144,0.15
Mike Maignan,7,Claims/Match,0.0,0.1
Mike Maignan,7,Goals Conceded (inv.),-0.4746,0.1
Mike Maignan,7,Goals Prev./Match,0.4915,0.0
Mike Maignan,7,xG Faced (inv.),-0.9988,0.0
Martin Dúbravka,8,Save %,-0.1234,0.3
Martin Dúbravka,8,Goals Prevented,0.3454,0.35
Martin Dúbravka,8,Sweeper/Match,1.4056,0.15
Martin Dúbravka,8,Claims/Match,0.0,0.1
Martin Dúbravka,8,Goals Conceded (inv.),-0.0365,0.1
Martin Dúbravka,8,Goals Prev./Match,0.4183,0.0
Martin Dúbravka,8,xG Faced (inv.),-0.2646,0.0
Giorgi Mamardashvili,9,Save %,0.5745,0.3
Giorgi Mamardashvili,9,Goals Prevented,1.0767,0.35
Giorgi Mamardashvili,9,Sweeper/Match,-1.2706,0.15
Giorgi Mamardashvili,9,Claims/Match,0.0,0.1
Giorgi Mamardashvili,9,Goals Conceded (inv.),-1.3508,0.1
Giorgi Mamardashvili,9,Goals Prev./Match,1.0533,0.0
Giorgi Mamardashvili,9,xG Faced (inv.),-1.9751,0.0
Jindřich Staněk,10,Save %,0.5745,0.3
Jindřich Staněk,10,Goals Prevented,0.2398,0.35
Jindřich Staněk,10,Sweeper/Match,-1.1715,0.15
Jindřich Staněk,10,Claims/Match,0.0,0.1
Jindřich Staněk,10,Goals Conceded (inv.),1.2778,0.1
Jindřich Staněk,10,Goals Prev./Match,0.5062,0.0
Jindřich Staněk,10,xG Faced (inv.),1.0279,0.0
Predrag Rajković,11,Save %,0.5745,0.3
Predrag Rajković,11,Goals Prevented,0.0233,0.35
Predrag Rajković,11,Sweeper/Match,-0.775,0.15
Predrag Rajković,11,Claims/Match,0.0,0.1
Predrag Rajković,11,Goals Conceded (inv.),1.2778,0.1
Predrag Rajković,11,Goals Prev./Match,0.2556,0.0
Predrag Rajković,11,xG Faced (inv.),1.1725,0.0
Gianluigi Donnarumma,12,Save %,0.4476,0.3
